customer_id,signup_date,segment,region,acquisition_channel
C0001,2023-05-31,Enterprise,East,Paid Search
C0002,2023-03-03,Enterprise,South,Partner
C0003,2024-09-10,Enterprise,West,Organic
C0004,2023-11-28,Mid-Market,South,Organic
C0005,2024-05-13,SMB,East,Referral
C0006,2025-04-21,Enterprise,South,Partner
C0007,2024-01-10,SMB,West,Paid Search
C0008,2023-03-11,Mid-Market,West,Organic
C0009,2024-02-27,SMB,East,Paid Search
C0010,2023-10-29,SMB,East,Referral
C0011,2025-05-07,Mid-Market,North,Partner
C0012,2024-07-28,Enterprise,North,Paid Search
C0013,2024-12-01,Enterprise,South,Partner
C0014,2025-02-06,Mid-Market,West,Paid Search
C0015,2023-08-07,Enterprise,East,Organic
C0016,2025-01-29,SMB,West,Organic
C0017,2024-12-27,Enterprise,West,Referral
C0018,2024-03-06,Enterprise,South,Partner
C0019,2024-05-21,Mid-Market,East,Referral
C0020,2023-02-03,SMB,North,Organic
C0021,2024-02-05,Enterprise,East,Paid Search
C0022,2025-02-18,Mid-Market,North,Partner
C0023,2024-06-08,Mid-Market,East,Referral
C0024,2023-03-24,Mid-Market,West,Paid Search
C0025,2024-07-03,SMB,South,Paid Search
C0026,2025-06-15,SMB,South,Paid Search
C0027,2025-06-24,Enterprise,North,Organic
C0028,2025-01-19,SMB,West,Paid Search
C0029,2025-04-16,SMB,South,Referral
C0030,2023-04-26,Mid-Market,East,Partner
C0031,2025-06-27,Mid-Market,South,Paid Search
C0032,2024-01-17,Enterprise,South,Organic
C0033,2023-11-01,SMB,North,Organic
C0034,2024-12-04,Enterprise,East,Paid Search
C0035,2024-10-15,SMB,West,Referral
C0036,2025-05-05,SMB,South,Referral
C0037,2024-03-28,Mid-Market,North,Paid Search
C0038,2023-08-06,SMB,East,Referral
C0039,2024-07-07,Mid-Market,West,Organic
C0040,2023-11-09,SMB,South,Partner
C0041,2023-12-01,Enterprise,South,Referral
C0042,2024-02-22,SMB,West,Partner
C0043,2023-08-29,Enterprise,South,Referral
C0044,2024-12-20,Mid-Market,East,Paid Search
C0045,2023-03-14,SMB,South,Partner
C0046,2023-04-27,Mid-Market,East,Organic
C0047,2024-10-20,SMB,West,Referral
C0048,2024-05-13,SMB,South,Partner
C0049,2023-01-18,Enterprise,South,Referral
C0050,2024-08-27,Mid-Market,South,Referral
C0051,2023-05-08,Mid-Market,North,Referral
C0052,2024-07-27,SMB,West,Paid Search
C0053,2024-12-18,SMB,North,Paid Search
C0054,2023-06-21,SMB,East,Organic
C0055,2024-09-10,SMB,North,Referral
C0056,2024-12-24,SMB,South,Partner
C0057,2025-06-21,Mid-Market,South,Paid Search
C0058,2024-07-12,Mid-Market,South,Organic
C0059,2023-05-19,Enterprise,South,Paid Search
C0060,2024-03-02,Enterprise,North,Organic
C0061,2023-09-09,Mid-Market,East,Paid Search
C0062,2024-02-07,Enterprise,North,Referral
C0063,2024-05-09,Mid-Market,West,Paid Search
C0064,2025-05-19,SMB,East,Referral
C0065,2025-02-13,Mid-Market,South,Organic
C0066,2023-11-28,Enterprise,North,Partner
C0067,2024-05-10,SMB,South,Referral
C0068,2023-10-15,SMB,East,Referral
C0069,2023-04-19,SMB,North,Referral
C0070,2024-10-28,Enterprise,West,Partner
C0071,2023-10-20,SMB,East,Partner
C0072,2025-06-08,SMB,North,Organic
C0073,2023-05-09,Mid-Market,East,Paid Search
