order_id,customer_id,product_id,order_date,quantity,unit_price,discount,sales_channel
O00001,C0153,P016,2025-07-11,3,159.2,0.0558,Partner
O00002,C0294,P005,2025-07-25,1,497.27,0.0667,Direct
O00003,C0163,P017,2025-07-02,5,298.6,0.0044,Web
O00004,C0112,P020,2025-07-04,2,318.4,0.0856,Web
O00005,C0198,P016,2025-07-12,5,147.96,0.0961,Web
O00006,C0015,P019,2025-07-20,1,425.58,0.0005,Web
O00007,C0286,P011,2025-07-22,4,64.24,0.0482,Web
O00008,C0269,P013,2025-07-08,2,135.5,0.0418,Partner
O00009,C0234,P018,2025-07-04,2,72.98,0.0476,Partner
O00010,C0083,P011,2025-07-06,5,65.64,0.041,Partner
O00011,C0135,P015,2025-07-25,5,102.83,0.0356,Direct
O00012,C0123,P011,2025-07-18,1,88.82,0.0841,Web
O00013,C0221,P012,2025-07-11,2,191.15,0.0596,Web
O00014,C0041,P003,2025-07-03,1,1449.26,0.0021,Direct
O00015,C0091,P010,2025-07-28,4,382.65,0.0504,Partner
O00016,C0288,P020,2025-07-17,3,279.22,0.1076,Partner
O00017,C0116,P005,2025-07-31,2,655.84,0.0635,Direct
O00018,C0223,P005,2025-07-21,4,538.55,0.029,Direct
O00019,C0090,P007,2025-07-02,1,674.32,0.034,Web
O00020,C0169,P006,2025-07-25,3,719.55,0.0572,Partner
O00021,C0285,P020,2025-07-09,4,332.38,0.1083,Direct
O00022,C0237,P010,2025-07-18,1,350.16,0.0784,Web
O00023,C0096,P020,2025-07-30,3,294.1,0.0043,Partner
O00024,C0288,P015,2025-07-02,2,80.71,0.0079,Web
O00025,C0296,P010,2025-07-27,3,378.52,0.0061,Web
O00026,C0034,P013,2025-07-02,4,129.25,0.0248,Direct
O00027,C0294,P007,2025-07-09,2,582.86,0.0002,Direct
O00028,C0034,P009,2025-07-01,1,201.26,0.0587,Partner
O00029,C0009,P007,2025-07-17,3,655.59,0.1009,Direct
O00030,C0079,P005,2025-07-08,3,573.27,0.082,Web
O00031,C0101,P005,2025-07-16,2,659.94,0.0058,Partner
O00032,C0139,P018,2025-07-05,1,60.16,0.0166,Partner
O00033,C0007,P019,2025-07-05,1,340.69,0.0038,Web
O00034,C0034,P015,2025-07-08,3,90.2,0.0708,Direct
O00035,C0207,P017,2025-07-15,1,301.37,0.0743,Direct
O00036,C0049,P018,2025-07-27,5,65.04,0.1103,Partner
O00037,C0168,P010,2025-07-23,4,468.96,0.0434,Partner
O00038,C0244,P003,2025-07-25,3,1663.14,0.026,Web
O00039,C0155,P009,2025-07-23,2,172.49,0.0036,Direct
O00040,C0104,P008,2025-07-06,4,661.4,0.085,Web
O00041,C0091,P015,2025-07-08,2,99.63,0.0713,Partner
O00042,C0038,P016,2025-07-22,4,122.09,0.0609,Web
O00043,C0037,P020,2025-07-18,1,252.35,0.1192,Web
O00044,C0176,P008,2025-07-28,3,693.23,0.0643,Web
O00045,C0050,P013,2025-07-05,2,103.08,0.0713,Web
